pp_0000 625.0 9375.0 1 1.0933513388367879226592549457564018666744232177734375000000000000
pp_0001 1875.0 9375.0 1 1.0291299237025375301612939438200555741786956787109375000000000000
pp_0002 3125.0 9375.0 1 1.04663953850129609612906733673298731446266174316406250000000000000
pp_0003 4375.0 9375.0 1 0.94032407969475650943991240637842565774917602539062500000000000000
pp_0004 625.0 8125.0 1 1.1223370612938536883262941046268679201602935791015625000000000000
pp_0005 1875.0 8125.0 1 1.0322463032377722225163552138837985694408416748046875000000000000
pp_0006 3125.0 8125.0 1 1.02299180163978209456843160296557471156120300292968750000000000000
pp_0007 4375.0 8125.0 1 0.92499252400375897575912631509709171950817108154296875000000000000
pp_0008 625.0 6875.0 1 1.08635565941183775962031177186872810125350952148437500000000000000
pp_0009 3125.0 6875.0 1 1.030958032384854838880983152193948626518249511718750000000000000000
pp_0010 4375.0 6875.0 1 0.976607050985715985369495228951564058661460876464843750000000000000
pp_0011 625.0 5625.0 1 1.06965069622957487105452401010552421212196350097656250000000000000
pp_0012 3125.0 5625.0 1 1.021053772166765405415844725212082266807556152343750000000000000000
pp_0013 4375.0 5625.0 1 0.918239906490052826271153207926545292139053344726562500000000000000
pp_0014 625.0 4375.0 1 1.06325519293390002850685505109140649437904357910156250000000000000
pp_0015 1875.0 4375.0 1 1.03422355760533890567387516057351604104042053222656250000000000000
pp_0016 3125.0 4375.0 1 0.993196281111164869237484253972070291638374328613281250000000000000
pp_0017 4375.0 4375.0 1 0.931169062018274318326405136758694425225257873535156250000000000000
pp_0018 625.0 3125.0 1 1.02854648162853745674283345579169690608978271484375000000000000000
pp_0019 1875.0 3125.0 1 0.96220897617706224735911746392957866191864013671875000000000000000
pp_0020 3125.0 3125.0 1 0.971497559577429781185742285742890089750289916992187500000000000000
pp_0021 4375.0 3125.0 1 0.926685342845209758522173615347128361463546752929687500000000000000
pp_0022 625.0 1875.0 1 1.01633414986563908044558957044500857591629028320312500000000000000
pp_0023 1875.0 1875.0 1 0.95361860779925722297889478795696049928665161132812500000000000000
pp_0024 3125.0 1875.0 1 0.944928499899659768423987316054990515112876892089843750000000000000
pp_0025 4375.0 1875.0 1 0.902197121490457387693595592281781136989593505859375000000000000000
pp_0026 1875.0 625.0 1 0.97026551465270116647587883562664501368999481201171875000000000000
pp_0027 3125.0 625.0 1 0.947380578667826656058537082572001963853836059570312500000000000000
pp_0028 4375.0 625.0 1 0.917270915037518119738990662881406024098396301269531250000000000000
