time,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-3-8,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-26-6,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10
3652.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3683.5,0.012339990000000967,0.02189362000000017,0.021230619999997202,0.019347789999997644,-0.012214900000003581,-0.007395299999998883,-0.01160173000000242,-0.01520936000000006,-6.67199999995205e-05,-0.029780160000001388,-0.0019325799999947435,-0.014044239999996933,-0.04752262000000229
3712.5,0.06748887999999909,0.12353565000000089,0.12404391999999831,0.13199322999999907,0.051590949999997804,0.03749854000000141,0.055002710000003674,0.02400136999999347,0.07596052999999614,0.020167339999993317,0.03440036000000646,0.03607570999999865,0.01036906000000215
3743.5,0.1287862300000029,0.2542818800000006,0.2590941599999965,0.29323334000000045,0.13961906000000113,0.09388924000000287,0.13174957000000376,0.06671602999999493,0.18352626999999444,0.10406174999999962,0.07237028000000123,0.10817004000000452,0.05384407999999752
3773.5,0.17655148000000054,0.3728612600000005,0.3836334699999995,0.4550242499999939,0.21662681999999478,0.13856258000000565,0.2072538700000024,0.1060638199999957,0.28952426999999403,0.19224797999999765,0.10694462000000016,0.1790853700000028,0.11904780999999787
3804.5,0.1914402399999986,0.4368156499999998,0.4539274099999986,0.566328679999998,0.257731960000001,0.15589413000000008,0.23701916000000267,0.1194730499999963,0.35368777999999423,0.2518868499999982,0.11704557000000193,0.22178090999999966,0.14968597000000017
3834.5,0.16072753000000262,0.41205648999999767,0.4332950299999965,0.5779798199999959,0.22228135999999665,0.1240419000000017,0.2025771400000025,0.09649164999999726,0.33852076999999525,0.242044369999995,0.09614811000000145,0.20409307999999982,0.13419592000000335
3865.5,0.09376450999999975,0.3072365000000019,0.32900386000000026,0.4924496399999967,0.10602696000000122,0.039652740000001074,0.08372486999999751,0.016587649999998177,0.22368245999999914,0.11528366999999662,0.03742941000000144,0.09697023000000371,0.029809980000003122
3896.5,-0.01537265999999704,0.10855119000000002,0.1262526699999995,0.2890808099999944,-0.10645912000000379,-0.1023321199999998,-0.11856430999999645,-0.1014745700000006,0.006931559999998171,-0.09694421000000375,-0.05868893999999614,-0.0834387799999945,-0.14069614000000286
3926.5,-0.1167524499999999,-0.10841725000000224,-0.098499529999998,0.03642991999999623,-0.29568009999999845,-0.2193915000000004,-0.30822464999999966,-0.19464102000000594,-0.23222957000000122,-0.3161841500000051,-0.14661345999999753,-0.2625406599999991,-0.27284233999999685
3957.5,-0.193045699999999,-0.302835469999998,-0.30319029999999714,-0.22276744000000548,-0.43535436000000516,-0.30165401000000003,-0.4534048900000016,-0.267491040000003,-0.4432271700000001,-0.4890873900000017,-0.21087378999999373,-0.40894927999999453,-0.38322027000000247
3987.5,-0.22330971000000233,-0.41799593000000357,-0.4286205200000026,-0.41586543000000376,-0.5243478200000027,-0.3442401499999974,-0.6018437099999971,-0.32264207000000056,-1.6860773300000034,-0.8568675700000057,-0.2521165999999937,-0.5431666100000001,-0.48397699000000216
4018.5,-0.2125837199999978,-0.45078254999999956,-0.47002325999999783,-0.5304502700000029,-0.5493216899999993,-0.3464677199999997,-0.6868331800000007,-0.3460788100000016,-1.8771850600000022,-1.0456915300000063,-0.2620449199999939,-0.6133077599999979,-0.5031570100000025
4049.5,-0.164989300000002,-0.39692338000000404,-0.42089010000000115,-0.5467288700000026,-0.4807050100000012,-0.2997911699999989,-0.6679500999999988,-0.3224039900000051,-1.9187255699999994,-1.080680870000002,-0.23418099999999953,-0.6109812300000002,-0.47790127999999754
