pp_0000 625.0 9375.0 1 0.9849159167524839109120193825219757854938507080078125000000000000000
pp_0001 1875.0 9375.0 1 1.0089193547506454251561081036925315856933593750000000000000000000000
pp_0002 3125.0 9375.0 1 1.06654707995292996614011826750356703996658325195312500000000000000000
pp_0003 4375.0 9375.0 1 1.00046234288263780065619812376098707318305969238281250000000000000000
pp_0004 625.0 8125.0 1 0.9710172741851101907428756021545268595218658447265625000000000000000
pp_0005 1875.0 8125.0 1 0.9782366407376791306305108264496084302663803100585937500000000000000
pp_0006 3125.0 8125.0 1 1.09696071068595979447479749069316312670707702636718750000000000000000
pp_0007 4375.0 8125.0 1 1.06667878109820746246327871631365269422531127929687500000000000000000
pp_0008 625.0 6875.0 1 0.99685231571063659394837941363221034407615661621093750000000000000000
pp_0009 3125.0 6875.0 1 1.022431297014695816827156704675871878862380981445312500000000000000000
pp_0010 4375.0 6875.0 1 1.048085941044121449650106114859227091073989868164062500000000000000000
pp_0011 625.0 5625.0 1 1.01004507464554049711580319126369431614875793457031250000000000000000
pp_0012 3125.0 5625.0 1 1.017224958271844226231905849999748170375823974609375000000000000000000
pp_0013 4375.0 5625.0 1 1.021792599703311488212875701719895005226135253906250000000000000000000
pp_0014 625.0 4375.0 1 1.01935945433647390245823771692812442779541015625000000000000000000000
pp_0015 1875.0 4375.0 1 1.00156585732738645511119557340862229466438293457031250000000000000000
pp_0016 3125.0 4375.0 1 1.002539041496159910593632957898080348968505859375000000000000000000000
pp_0017 4375.0 4375.0 1 1.039074180200800778806069502024911344051361083984375000000000000000000
pp_0018 625.0 3125.0 1 1.04837811853088225255703491711756214499473571777343750000000000000000
pp_0019 1875.0 3125.0 1 1.02571752317787279196181771112605929374694824218750000000000000000000
pp_0020 3125.0 3125.0 1 1.004080310412743592962669936241582036018371582031250000000000000000000
pp_0021 4375.0 3125.0 1 1.055923977500279997698839906661305576562881469726562500000000000000000
pp_0022 625.0 1875.0 1 1.04535152973650746766054453473770990967750549316406250000000000000000
pp_0023 1875.0 1875.0 1 1.03849286380231697890508257842157036066055297851562500000000000000000
pp_0024 3125.0 1875.0 1 1.071393695634840881325544614810496568679809570312500000000000000000000
pp_0025 4375.0 1875.0 1 1.084472845276415187143470575392711907625198364257812500000000000000000
pp_0026 1875.0 625.0 1 1.06063887956727587180694172275252640247344970703125000000000000000000
pp_0027 3125.0 625.0 1 1.115422341053528443310938200738746672868728637695312500000000000000000
pp_0028 4375.0 625.0 1 1.126192203556218851545622783305589109659194946289062500000000000000000
