time,HEADWATER,TAILWATER,GAGE-1
3652.5,0.0,0.0,0.0
3683.5,70.86624777452994,49.65875763649262,-117.58377521411012
3712.5,-40.79062427597091,-44.30746661522858,84.51246151450096
3743.5,-190.63265665875997,-140.92233732004058,327.58332880049693
3773.5,-307.203375020081,-236.7928864928516,536.9919640248199
3804.5,-377.5119154483341,-263.1910955523266,633.165740526249
3834.5,-379.2205734961119,-266.05710298374663,637.6091193065149
3865.5,-89.16954067255597,-48.70253482770079,137.78822142021772
3896.5,285.3938086462682,205.56221682890032,-482.882847298868
3926.5,545.8477437917705,433.3011789777833,-963.8364757139661
3957.5,746.7689821281812,597.9912887777346,-1324.520659079397
3987.5,873.4779091408667,706.581942406329,-1557.5735834215661
4018.5,896.1997858987029,726.6363959773638,-1601.32849343364
4049.5,794.4366704606557,660.9353224937215,-1436.866440115242
4077.5,530.0787640218485,504.55574068896857,-1021.1895806528221
4108.5,223.8772447342369,296.8642143496371,-513.6019208260373
4138.5,-0.9586360929599778,151.57346022328397,-147.28545154007588
4169.5,-109.16761323811306,83.27384623560852,27.934787666284137
4199.5,-39.08974080996404,114.5086260305518,-72.02139106167306
4230.5,163.37087185811492,290.388560499357,-444.53392056619987
4261.5,472.4360625964713,529.2838261433606,-984.995455263507
4291.5,796.3180885240251,751.6238944075384,-1524.7438445632101
4322.5,1038.5794369277605,922.2645377160148,-1932.975187125068
4352.5,1133.4008997306369,1012.7472693038818,-2116.1276418961706
4383.5,1022.2444067554236,965.2460076362153,-1959.1150752153549
