,0,1,2,sidx,idx_strs,pargp3,parval1_3,3
0,0,9,16,"(0, 9, 16)",idx0:0_idx1:9_idx2:16,welgrd,1.0,1.103923655515904433954688101948704570531845092773437500000000000000000000
1,0,11,13,"(0, 11, 13)",idx0:0_idx1:11_idx2:13,welgrd,1.0,1.0489233735598539887234892376000061631202697753906250000000000000000000000
2,0,20,14,"(0, 20, 14)",idx0:0_idx1:20_idx2:14,welgrd,1.0,1.0099670471254040826636355632217600941658020019531250000000000000000000000
3,0,26,10,"(0, 26, 10)",idx0:0_idx1:26_idx2:10,welgrd,1.0,1.0277539661973591478272282984107732772827148437500000000000000000000000000
4,0,29,6,"(0, 29, 6)",idx0:0_idx1:29_idx2:6,welgrd,1.0,0.973305990995877667870672667049802839756011962890625000000000000000000000
5,0,34,12,"(0, 34, 12)",idx0:0_idx1:34_idx2:12,welgrd,1.0,1.1797425225069708698555359660531394183635711669921875000000000000000000000
6,0,24,4,"(0, 24, 4)",idx0:0_idx1:24_idx2:4,welgrd,1.0,1.079150133932007316062140489520970731973648071289062500000000000000000000
