,0,1,2,sidx,idx_strs,x,y,pargp4,parval1_4,4
0,0,39,5,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,1375.0,125.0,ghbcondgr,1.0,1.110003063153198743506777645961847156286239624023437500000000000000000000000
1,0,39,6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,1625.0,125.0,ghbcondgr,1.0,0.982684911570132824110146430029999464750289916992187500000000000000000000000
2,0,39,7,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,1875.0,125.0,ghbcondgr,1.0,1.128790272018404428067128719703759998083114624023437500000000000000000000000
3,0,39,8,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,2125.0,125.0,ghbcondgr,1.0,1.135831713577857948749283423239830881357192993164062500000000000000000000000
4,0,39,9,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,2375.0,125.0,ghbcondgr,1.0,1.234635885121562859367827513779047876596450805664062500000000000000000000000
5,0,39,10,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,2625.0,125.0,ghbcondgr,1.0,1.1034597209072436463372923753922805190086364746093750000000000000000000000000
6,0,39,11,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,2875.0,125.0,ghbcondgr,1.0,1.0129378547083118800031797945848666131496429443359375000000000000000000000000
7,0,39,12,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,3125.0,125.0,ghbcondgr,1.0,0.9991031315658159828174689209845382720232009887695312500000000000000000000000
8,0,39,13,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,3375.0,125.0,ghbcondgr,1.0,1.1079305488647275268476732890121638774871826171875000000000000000000000000000
9,0,39,14,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,3625.0,125.0,ghbcondgr,1.0,1.0713331880924186201298198284348472952842712402343750000000000000000000000000
