,0,1,2,sidx,idx_strs,x,y,pargp3,parval1_3,3
0,0,39,5,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,1375.0,125.0,ghbheadgr,0.0,0.060840965709768823899139533750712871551513671875000000000000000000000000000
1,0,39,6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,1625.0,125.0,ghbheadgr,0.0,-0.05217406410397096294673247030004858970642089843750000000000000000000000000
2,0,39,7,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,1875.0,125.0,ghbheadgr,0.0,-0.07429750742259422224833542713895440101623535156250000000000000000000000000
3,0,39,8,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,2125.0,125.0,ghbheadgr,0.0,0.053260790680035086097632301971316337585449218750000000000000000000000000000
4,0,39,9,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,2375.0,125.0,ghbheadgr,0.0,0.073782528845363515301869483664631843566894531250000000000000000000000000000
5,0,39,10,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,2625.0,125.0,ghbheadgr,0.0,0.0380430355984682222469928092323243618011474609375000000000000000000000000000
6,0,39,11,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,2875.0,125.0,ghbheadgr,0.0,-2.63818622363132249120099004358053207397460937500000000000000000000000000e-04
7,0,39,12,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,3125.0,125.0,ghbheadgr,0.0,-0.105462456164364226651741773821413516998291015625000000000000000000000000000
8,0,39,13,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,3375.0,125.0,ghbheadgr,0.0,0.0135569671159707638707914156839251518249511718750000000000000000000000000000
9,0,39,14,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,3625.0,125.0,ghbheadgr,0.0,0.0450151370023945673892740160226821899414062500000000000000000000000000000000
