,0,1,2,sidx,idx_strs,pargp4,parval1_4,4
0,0,39,5,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
1,0,39,6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
2,0,39,7,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
3,0,39,8,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
4,0,39,9,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
5,0,39,10,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
6,0,39,11,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
7,0,39,12,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
8,0,39,13,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
9,0,39,14,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,ghbcondcn,1.0,0.80477720784808093323903221971704624593257904052734375
