,0,1,2,sidx,idx_strs,pargp3,parval1_3,3
0,0,9,16,"(0, 9, 16)",idx0:0_idx1:9_idx2:16,welgrd,1.0,0.9335868774114235435490627423860132694244384765625000000000000000000000000
1,0,11,13,"(0, 11, 13)",idx0:0_idx1:11_idx2:13,welgrd,1.0,0.87643820400177929741403204388916492462158203125000000000000000000000000000
2,0,20,14,"(0, 20, 14)",idx0:0_idx1:20_idx2:14,welgrd,1.0,1.00216000224694301579120292444713413715362548828125000000000000000000000000
3,0,26,10,"(0, 26, 10)",idx0:0_idx1:26_idx2:10,welgrd,1.0,0.93081925824745392894499218527926132082939147949218750000000000000000000000
4,0,29,6,"(0, 29, 6)",idx0:0_idx1:29_idx2:6,welgrd,1.0,1.0786958816036302799545865127583965659141540527343750000000000000000000000
5,0,34,12,"(0, 34, 12)",idx0:0_idx1:34_idx2:12,welgrd,1.0,0.96546417952390450878397132328245788812637329101562500000000000000000000000
6,0,24,4,"(0, 24, 4)",idx0:0_idx1:24_idx2:4,welgrd,1.0,0.9335662907663679899172848308808170258998870849609375000000000000000000000
