,0,1,2,sidx,idx_strs,pargp3,parval1_3,3
0,0,9,16,"(0, 9, 16)",idx0:0_idx1:9_idx2:16,welcst,1.0,0.92367443828340478617633380054030567407608032226562
1,0,11,13,"(0, 11, 13)",idx0:0_idx1:11_idx2:13,welcst,1.0,0.92367443828340478617633380054030567407608032226562
2,0,20,14,"(0, 20, 14)",idx0:0_idx1:20_idx2:14,welcst,1.0,0.92367443828340478617633380054030567407608032226562
3,0,26,10,"(0, 26, 10)",idx0:0_idx1:26_idx2:10,welcst,1.0,0.92367443828340478617633380054030567407608032226562
4,0,29,6,"(0, 29, 6)",idx0:0_idx1:29_idx2:6,welcst,1.0,0.92367443828340478617633380054030567407608032226562
5,0,34,12,"(0, 34, 12)",idx0:0_idx1:34_idx2:12,welcst,1.0,0.92367443828340478617633380054030567407608032226562
6,0,24,4,"(0, 24, 4)",idx0:0_idx1:24_idx2:4,welcst,1.0,0.92367443828340478617633380054030567407608032226562
